index,name,nameEng,il,ilEng
305,Эмирдаг,emirdag,Афьонкарахисар,afonkarahisar
306,Алаплы,alaply,Зонгулдак,zonguldak
307,Бостаниджи,bostanidzhi,Ван,van
308,Гедиз,gediz,Кютахья,kyutahya
309,Сарайкёй,sarajkyoj,Денизли,denizli
310,Ялвач,yalvach,Ыспарта,ysparta
311,Махмутлар,mahmutlar,Анталья,antalya
312,Демирджи,demirdzhi,Маниса,manisa
313,Ортакёй,ortakyoj,Аксарай,aksaraj
314,Тургутрейс,turgutrejs,Мугла,mugla
315,Караагач,karaagach,Хатай,hataj
316,Ятаган,yatagan,Мугла,mugla
317,Нурдагы,nurdagy,Газиантеп,gaziantep
318,Чифтликкёй,chiftlikkyoj,Ялова,yalova
319,Батталгази,battalgazi,Малатья,malatya
320,Инджесу,indzhesu,Кайсери,kajseri
321,Чермик,chermik,Диярбакыр,diyarbakyr
322,Даргечит,dargechit,Мардин,mardin
323,Генч,gench,Бингёль,bingyol
324,Дурсунбей,dursunbej,Балыкесир,balykesir
325,Хорасан,horasan,Эрзурум,erzurum
326,Гюмюшхаджикёй,gyumyushkhadzhikyoj,Амасья,amasya
327,Кызылджахамам,kyzyldzhahamam,Анкара,ankara
328,Памукова,pamukova,Сакарья,sakarya
329,Эгирдир,egirdir,Ыспарта,ysparta
330,Шаркёй,sharkyoj,Текирдаг,tekirdag
331,Богазлыян,bogazlyyan,Йозгат,jozgat
332,Хопа,hopa,Артвин,artvin
333,Ешилли,eshilli,Мардин,mardin
334,Дикили,dikili,Измир,izmir
335,Ахлат,ahlat,Битлис,bitlis
336,Ардаган,ardagan,Ардахан,ardahan
337,Юргюп,yurgyup,Невшехир,nevshekhir
338,Чекмедже,chekmedzhe,Хатай,hataj
339,Ташкёпрю,tashkyopryu,Кастамону,kastamonu
340,Зейтинли,zejtinli,Балыкесир,balykesir
341,Эскиль,eskil,Аксарай,aksaraj
342,Мурадие,muradie,Ван,van
343,Эспие,espie,Гиресун,giresun
344,Бозъязы,"boz""yazy",Мерсин,mersin
