index,name,nameEng,il,ilEng
80,Джейхан,dzhejhan,Адана,adana
81,Эрегли,eregli,Зонгулдак,zonguldak
82,Джизре,dzhizre,Ширнак,shirnak
83,Салихли,salihli,Маниса,manisa
84,Чанаккале,chanakkale,Чанаккале,chanakkale
85,Ялова,yalova,Ялова,yalova
86,Низип,nizip,Газиантеп,gaziantep
87,Аланья,alanya,Анталья,antalya
88,Эрегли,eregli,Конья,konya
89,Гиресун,giresun,Гиресун,giresun
90,Гемлик,gemlik,Бурса,bursa
91,Ризе,rize,Ризе,rize
92,Полатлы,polatly,Анкара,ankara
93,Агры,agry,Агры,agry
94,Бингёль,bingyol,Бингёль,bingyol
95,Картепе,kartepe,Коджаэли,kodzhaeli
96,Эрзинджан,erzindzhan,Эрзинджан,erzindzhan
97,Невшехир,nevshekhir,Невшехир,nevshekhir
98,Кастамону,kastamonu,Кастамону,kastamonu
99,Талас,talas,Кайсери,kajseri
100,Нусайбин,nusajbin,Мардин,mardin
101,Чайырова,chajyrova,Коджаэли,kodzhaeli
102,Мардин,mardin,Мардин,mardin
103,Эльбистан,elbistan,Кахраманмараш,kahramanmarash
104,Бафра,bafra,Самсун,samsun
105,Килис,kilis,Килис,kilis
106,Амасья,amasya,Амасья,amasya
107,Манавгат,manavgat,Анталья,antalya
108,Кадирли,kadirli,Османие,osmanie
109,Силопи,silopi,Ширнак,shirnak
110,Ыгдыр,ygdyr,Ыгдыр,ygdyr
111,Сома,soma,Маниса,manisa
112,Черкезкёй,cherkezkyoj,Текирдаг,tekirdag
113,Вираншехир,viranshekhir,Шанлыурфа,shanlyurfa
114,Карс,kars,Карс,kars
115,Чубук,chubuk,Анкара,ankara
116,Козан,kozan,Адана,adana
117,Кемальпаша,kemalpasha,Измир,izmir
118,Йодемиш,jodemish,Измир,izmir
119,Йозгат,jozgat,Йозгат,jozgat
120,Юнье,yune,Орду,ordu
121,Фетхие,fethie,Мугла,mugla
122,Эрджиш,erdzhish,Ван,van
123,Дёртйол,dyortjol,Хатай,hataj
124,Муш,mush,Муш,mush
125,Чанкыры,chankyry,Чанкыры,chankyry
126,Кырыкхан,kyrykkhan,Хатай,hataj
127,Сёке,syoke,Айдын,ajdyn
128,Ширнак,shirnak,Ширнак,shirnak
129,Хаккяри,hakkyari,Хаккяри,hakkyari
130,Кыркларели,kyrklareli,Кыркларели,kyrklareli
131,Башискеле,bashiskele,Коджаэли,kodzhaeli
132,Догубайазет,dogubajazet,Агры,agry
133,Кушадасы,kushadasy,Айдын,ajdyn
134,Эргани,ergani,Диярбакыр,diyarbakyr
135,Тавшанлы,tavshanly,Кютахья,kyutahya
136,Бурдур,burdur,Бурдур,burdur
137,Турхал,turhal,Токат,tokat
138,Юксекова,yuksekova,Хаккяри,hakkyari
139,Татван,tatvan,Битлис,bitlis
140,Рейханлы,rejhanly,Хатай,hataj
141,Мугла,mugla,Мугла,mugla
142,Кахта,kahta,Адыяман,adyyaman
143,Акшехир,akshekhir,Конья,konya
144,Бергама,bergama,Измир,izmir
145,Эрбаа,erbaa,Токат,tokat
146,Бозююк,bozyuyuk,Биледжик,biledzhik
147,Чаршамба,charshamba,Самсун,samsun
148,Мустафакемальпаша,mustafakemalpasha,Бурса,bursa
149,Патнос,patnos,Агры,agry
150,Орхангази,orhangazi,Бурса,bursa
151,Бисмил,bismil,Диярбакыр,diyarbakyr
152,Соргун,sorgun,Йозгат,jozgat
153,Кешан,keshan,Эдирне,edirne
154,Мендерес,menderes,Измир,izmir
155,Мидьят,midyat,Мардин,mardin
156,Гюрсу,gyursu,Бурса,bursa
157,Мерзифон,merzifon,Амасья,amasya
158,Капаклы,kapakly,Текирдаг,tekirdag
159,Миляс,milyas,Мугла,mugla
160,Карабеджей,karabedzhej,Бурса,bursa
161,Алиага,aliaga,Измир,izmir
162,Суруч,suruch,Шанлыурфа,shanlyurfa
163,Эдремит,edremit,Балыкесир,balykesir
164,Тирэ,tire,Измир,izmir
165,Муданья,mudanya,Бурса,bursa
166,Фатса,fatsa,Орду,ordu
167,Бартын,bartyn,Бартын,bartyn
168,Силифке,silifke,Мерсин,mersin
169,Алашехир,alashekhir,Маниса,manisa
170,Дидим,didim,Айдын,ajdyn
171,Серик,serik,Анталья,antalya
